Station_ID,IOOS_Regional_Association,Network,creator_country,creator_email,creator_institution,creator_name,creator_sector,creator_type,creator_url,platform_name
PAFS,CeNCOOS,BML,United States of America,ucdbml@ucdavis.edu,"University of California, Davis","Bodega Marine Laboratory, Coastal and Marine Sciences Institute, University of California, Davis",academic,group,https://boon.ucdavis.edu/obs/hfr,Point Arena Field Station (PAFS) HF-radar station
PBON,CeNCOOS,BML,United States of America,ucdbml@ucdavis.edu,"University of California, Davis","Bodega Marine Laboratory, Coastal and Marine Sciences Institute, University of California, Davis",academic,group,https://boon.ucdavis.edu/obs/hfr,"Point Bonita, CA (PBON) HF-radar station"
PREY,CeNCOOS,BML,United States of America,ucdbml@ucdavis.edu,"University of California, Davis","Bodega Marine Laboratory, Coastal and Marine Sciences Institute, University of California, Davis",academic,group,https://boon.ucdavis.edu/obs/hfr,"Point Reyes, CA (PREY) HF-radar station"
SHEL,CeNCOOS,BML,United States of America,ucdbml@ucdavis.edu,"University of California, Davis","Bodega Marine Laboratory, Coastal and Marine Sciences Institute, University of California, Davis",academic,group,https://boon.ucdavis.edu/obs/hfr,"Shelter Cove, CA (SHEL) HF-radar station"
SLID,CeNCOOS,BML,United States of America,ucdbml@ucdavis.edu,"University of California, Davis","Bodega Marine Laboratory, Coastal and Marine Sciences Institute, University of California, Davis",academic,group,https://boon.ucdavis.edu/obs/hfr,"Slide Ranch, CA (SLID) HF-radar station"
SMOA,CeNCOOS,BML,United States of America,ucdbml@ucdavis.edu,"University of California, Davis","Bodega Marine Laboratory, Coastal and Marine Sciences Institute, University of California, Davis",academic,group,https://boon.ucdavis.edu/obs/hfr,"Humboldt Bay, Samoa, CA (SMOA) HF-radar station"
TRIN,CeNCOOS,BML,United States of America,ucdbml@ucdavis.edu,"University of California, Davis","Bodega Marine Laboratory, Coastal and Marine Sciences Institute, University of California, Davis",academic,group,https://boon.ucdavis.edu/obs/hfr,"Trinidad, CA (TRIN) HF-radar station"
ANGL,CeNCOOS,CODAR,United States of America,support@codar.com,"CODAR Ocean Sensors, Ltd.","CODAR Ocean Sensors, Ltd.",industry,institution,https://codar.com/,"Angel Island, CA (ANGL) HF-radar station"
BIGC,CeNCOOS,CODAR,United States of America,support@codar.com,"CODAR Ocean Sensors, Ltd.","CODAR Ocean Sensors, Ltd.",industry,institution,https://codar.com/,Big Creek (BIGC) HF-radar station
CRIS,CeNCOOS,CODAR,United States of America,support@codar.com,"CODAR Ocean Sensors, Ltd.","CODAR Ocean Sensors, Ltd.",industry,institution,https://codar.com/,"Crissy Field, CA (CRIS) HF-radar station"
EXPL,CeNCOOS,CODAR,United States of America,support@codar.com,"CODAR Ocean Sensors, Ltd.","CODAR Ocean Sensors, Ltd.",industry,institution,https://codar.com/,"The Exploratorium Museum, CA (EXPL) HF-radar station"
FORT,CeNCOOS,CODAR,United States of America,support@codar.com,"CODAR Ocean Sensors, Ltd.","CODAR Ocean Sensors, Ltd.",industry,institution,https://codar.com/,"Fort Funston, CA (FORT) HF-radar station"
GCYN,CeNCOOS,CODAR,United States of America,support@codar.com,"CODAR Ocean Sensors, Ltd.","CODAR Ocean Sensors, Ltd.",industry,institution,https://codar.com/,"Granite Canyon, CA (GCYN) HF-radar station"
MBAC,CeNCOOS,CODAR,United States of America,support@codar.com,"CODAR Ocean Sensors, Ltd.","CODAR Ocean Sensors, Ltd.",industry,institution,https://codar.com/,"Monterey Bay Academy, California (MBAC) HF-radar station"
MLML,CeNCOOS,CODAR,United States of America,support@codar.com,"CODAR Ocean Sensors, Ltd.","CODAR Ocean Sensors, Ltd.",industry,institution,https://codar.com/,"Moss Landing Marine Laboratories, CA (MLML) HF-radar station"
MONT,CeNCOOS,CODAR,United States of America,support@codar.com,"CODAR Ocean Sensors, Ltd.","CODAR Ocean Sensors, Ltd.",industry,institution,https://codar.com/,"Montara Sanitary District, Montara, CA (MONT) HF-radar station"
PILR,CeNCOOS,CODAR,United States of America,support@codar.com,"CODAR Ocean Sensors, Ltd.","CODAR Ocean Sensors, Ltd.",industry,institution,https://codar.com/,"Pillar Point Air Force Station, CA, USA (PILR) HF-radar station"
PPNS,CeNCOOS,CODAR,United States of America,support@codar.com,"CODAR Ocean Sensors, Ltd.","CODAR Ocean Sensors, Ltd.",industry,institution,https://codar.com/,"Point Pinos, Pacific Grove, CA (PPNS) HF-radar station"
PSLR,CeNCOOS,CODAR,United States of America,support@codar.com,"CODAR Ocean Sensors, Ltd.","CODAR Ocean Sensors, Ltd.",industry,institution,https://codar.com/,Point Sur Long Range (PSLR) HF-radar station
RTC1,CeNCOOS,CODAR,United States of America,support@codar.com,"CODAR Ocean Sensors, Ltd.","CODAR Ocean Sensors, Ltd.",industry,institution,https://codar.com/,"Romberg Tiburon Center, CA (RTC1) HF-radar station"
SAUS,CeNCOOS,CODAR,United States of America,support@codar.com,"CODAR Ocean Sensors, Ltd.","CODAR Ocean Sensors, Ltd.",industry,institution,https://codar.com/,"Sausalito-Marin City Sanitary District, CA, USA (SAUS) HF-radar station"
SCRZ,CeNCOOS,CODAR,United States of America,support@codar.com,"CODAR Ocean Sensors, Ltd.","CODAR Ocean Sensors, Ltd.",industry,institution,https://codar.com/,Santa Cruz (SCRZ) HF-radar station
DCLR,CeNCOOS,SLO,United States of America,rkwalter@calpoly.edu,"California Polytechnic State University, San Luis Obispo","Center for Coastal Marine Sciences; California Polytechnic State University, San Luis Obispo",academic,group,https://marine.calpoly.edu/ocean-observing,"Diablo Canyon Long Range, CA (DCLR) HF-radar station"
DCSR,CeNCOOS,SLO,United States of America,rkwalter@calpoly.edu,"California Polytechnic State University, San Luis Obispo","Center for Coastal Marine Sciences; California Polytechnic State University, San Luis Obispo",academic,group,https://marine.calpoly.edu/ocean-observing,"Diablo Canyon Standard Range, CA (DCSR) HF-radar station"
ESTR,CeNCOOS,SLO,United States of America,rkwalter@calpoly.edu,"California Polytechnic State University, San Luis Obispo","Center for Coastal Marine Sciences; California Polytechnic State University, San Luis Obispo",academic,group,https://marine.calpoly.edu/ocean-observing,"Point Estero, CA (ESTR) HF-radar station"
RAGG,CeNCOOS,SLO,United States of America,rkwalter@calpoly.edu,"California Polytechnic State University, San Luis Obispo","Center for Coastal Marine Sciences; California Polytechnic State University, San Luis Obispo",academic,group,https://marine.calpoly.edu/ocean-observing,"Ragged Point, CA (RAGG) HF-radar station"
CPLF,GCOOS,Fugro,United States of America,ch.jackson@fugro.com,Fugro N.V.,Fugro,industry,institution,https://www.fugro.com/,"Chevron Pipeline Facility, LA (CPLF) HF-radar station"
SWPP,GCOOS,Fugro,United States of America,ch.jackson@fugro.com,Fugro N.V.,Fugro,industry,institution,https://www.fugro.com/,"Southwest Pass, LA (SWPP) HF-radar station"
MCPK,GCOOS,RATES,United States of America,cfuller@office.ratesresearch.org,"Research, Applied Technology, Education, and Service, Inc.","Research, Applied Technology, Education, and Service (RATES)",industry,institution,https://www2.ratesresearch.org/projects/tglo-cmp-26-hf-radar/,"McCollum Park Beach City, TX (MCPK) HF-radar station"
MOLA,GCOOS,RATES,United States of America,cfuller@office.ratesresearch.org,"Research, Applied Technology, Education, and Service, Inc.","Research, Applied Technology, Education, and Service (RATES)",industry,institution,https://www2.ratesresearch.org/projects/tglo-cmp-26-hf-radar/,"Moses Lake Floodgate, Texas City, TX (MOLA) HF-radar station"
PLA8,GCOOS,RATES,United States of America,cfuller@office.ratesresearch.org,"Research, Applied Technology, Education, and Service, Inc.","Research, Applied Technology, Education, and Service (RATES)",industry,institution,https://www2.ratesresearch.org/projects/tglo-cmp-26-hf-radar/,"Placement 8, Port Arthur,TX (PLA8) (PLA8) HF-radar station"
PLPI,GCOOS,RATES,United States of America,cfuller@office.ratesresearch.org,"Research, Applied Technology, Education, and Service, Inc.","Research, Applied Technology, Education, and Service (RATES)",industry,institution,https://www2.ratesresearch.org/projects/tglo-cmp-26-hf-radar/,"Pleasure Pier Blvd, Port Arthur, TX (PLPI) (PLPI) HF-radar station"
SMPT,GCOOS,RATES,United States of America,cfuller@office.ratesresearch.org,"Research, Applied Technology, Education, and Service, Inc.","Research, Applied Technology, Education, and Service (RATES)",industry,institution,https://www2.ratesresearch.org/projects/tglo-cmp-26-hf-radar/,"Smith Point, Anahuac,TX (SMPT) (SMPT) HF-radar station"
ANWR,GCOOS,TexAM,United States of America,adancer@gerg.tamu.edu,Texas A&M University,"Geochemical and Environmental Research Group, Texas A&M University",academic,group,https://gerg.tamu.edu/research/projects/index.html,"Aransas National Wildlife Refuge, TX (ANWR) HF-radar station"
MBNP,GCOOS,TexAM,United States of America,adancer@gerg.tamu.edu,Texas A&M University,"Geochemical and Environmental Research Group, Texas A&M University",academic,group,https://gerg.tamu.edu/research/projects/index.html,Matagorda Bay Nature Park (MBNP) HF-radar station
PINS,GCOOS,TexAM,United States of America,adancer@gerg.tamu.edu,Texas A&M University,"Geochemical and Environmental Research Group, Texas A&M University",academic,group,https://gerg.tamu.edu/research/projects/index.html,"Padre Island, TX (PINS) HF-radar station"
PMGC,GCOOS,TexAM,United States of America,adancer@gerg.tamu.edu,Texas A&M University,"Geochemical and Environmental Research Group, Texas A&M University",academic,group,https://gerg.tamu.edu/research/projects/index.html,Port Mansfield GERG Codar (PMGC) HF-radar station
SSDE,GCOOS,TexAM,United States of America,adancer@gerg.tamu.edu,Texas A&M University,"Geochemical and Environmental Research Group, Texas A&M University",academic,group,https://gerg.tamu.edu/research/projects/index.html,"Surfside, TX (SSDE) HF-radar station"
GPTP,GCOOS,USM,United States of America,stephan.howden@usm.edu,University of Southern Mississippi,"Division of Marine Science, School of Ocean Science and Engineering, University of Southern Mississippi",academic,group,https://www.usm.edu/ocean-science-engineering/,"Gulfport, MS (GPTP) HF-radar station"
HBSP,GCOOS,USM,United States of America,stephan.howden@usm.edu,University of Southern Mississippi,"Division of Marine Science, School of Ocean Science and Engineering, University of Southern Mississippi",academic,group,https://www.usm.edu/ocean-science-engineering/,"Henderson Beach State Park, FL (HBSP) HF-radar station"
OBSP,GCOOS,USM,United States of America,stephan.howden@usm.edu,University of Southern Mississippi,"Division of Marine Science, School of Ocean Science and Engineering, University of Southern Mississippi",academic,group,https://www.usm.edu/ocean-science-engineering/,"Orange Beach State Park, AL (OBSP) HF-radar station"
PCYC,GCOOS,USM,United States of America,stephan.howden@usm.edu,University of Southern Mississippi,"Division of Marine Science, School of Ocean Science and Engineering, University of Southern Mississippi",academic,group,https://www.usm.edu/ocean-science-engineering/,"Pass Christian Yacht Club, MS (PCYC) HF-radar station"
SGRV,GCOOS,USM,United States of America,stephan.howden@usm.edu,University of Southern Mississippi,"Division of Marine Science, School of Ocean Science and Engineering, University of Southern Mississippi",academic,group,https://www.usm.edu/ocean-science-engineering/,"Singing River, MS (SGRV) HF-radar station"
SISL,GCOOS,USM,United States of America,stephan.howden@usm.edu,University of Southern Mississippi,"Division of Marine Science, School of Ocean Science and Engineering, University of Southern Mississippi",academic,group,https://www.usm.edu/ocean-science-engineering/,"Silver Slipper Casino, MS (SISL) HF-radar station"
BRVW,GLOS,MTU,United States of America,thavens@mtu.edu,Michigan Technological University,"Great Lakes Research Center, Michigan Technological University",academic,group,https://www.mtu.edu/greatlakes/research-highlights/hfradar/,"Bridgeview Park, MI (BRVW) HF-radar station"
FTMK,GLOS,MTU,United States of America,thavens@mtu.edu,Michigan Technological University,"Great Lakes Research Center, Michigan Technological University",academic,group,https://www.mtu.edu/greatlakes/research-highlights/hfradar/,"Fort Michilimackinac, MI (FTMK) HF-radar station"
ASSA,MARACOOS,ODU,United States of America,tupdyke@odu.edu,Old Dominion University,"Center for Coastal Physical Oceanography, Department of Ocean and Earth Sciences, Old Dominion University",academic,group,https://www.odu.edu/coastal-physical-oceanography/research/surface-current-mapping,"Assateague Island National Seashore, MD (ASSA) HF-radar station"
CEDR,MARACOOS,ODU,United States of America,tupdyke@odu.edu,Old Dominion University,"Center for Coastal Physical Oceanography, Department of Ocean and Earth Sciences, Old Dominion University",academic,group,https://www.odu.edu/coastal-physical-oceanography/research/surface-current-mapping,"Cedar Island, VA (CEDR) HF-radar station"
FLND,MARACOOS,ODU,United States of America,tupdyke@odu.edu,Old Dominion University,"Center for Coastal Physical Oceanography, Department of Ocean and Earth Sciences, Old Dominion University",academic,group,https://www.odu.edu/coastal-physical-oceanography/research/surface-current-mapping,"First Landing State Park, Virginia Beach, VA (FLND) HF-radar station"
LISL,MARACOOS,ODU,United States of America,tupdyke@odu.edu,Old Dominion University,"Center for Coastal Physical Oceanography, Department of Ocean and Earth Sciences, Old Dominion University",academic,group,https://www.odu.edu/coastal-physical-oceanography/research/surface-current-mapping,"Little Island Park, Virginia Beach, VA (LISL) HF-radar station"
SUNS,MARACOOS,ODU,United States of America,tupdyke@odu.edu,Old Dominion University,"Center for Coastal Physical Oceanography, Department of Ocean and Earth Sciences, Old Dominion University",academic,group,https://www.odu.edu/coastal-physical-oceanography/research/surface-current-mapping,"Sunset Beach Resort, Cape Charles, VA (SUNS) HF-radar station"
VIEW,MARACOOS,ODU,United States of America,tupdyke@odu.edu,Old Dominion University,"Center for Coastal Physical Oceanography, Department of Ocean and Earth Sciences, Old Dominion University",academic,group,https://www.odu.edu/coastal-physical-oceanography/research/surface-current-mapping,"Ocean View Community Beach, Norfolk, VA (VIEW) HF-radar station"
AMAG,MARACOOS,Rutgers,United States of America,support@marine.rutgers.edu,Rutgers University,"Ocean Radar Team, Rutgers University Center for Ocean Observing Leadership (RUCOOL)",academic,group,https://rucool.marine.rutgers.edu/integrated-ocean-technology/ocean-radar/,"Amagansett, New York (AMAG) HF-radar station"
BLCK,MARACOOS,Rutgers,United States of America,support@marine.rutgers.edu,Rutgers University,"Ocean Radar Team, Rutgers University Center for Ocean Observing Leadership (RUCOOL)",academic,group,https://rucool.marine.rutgers.edu/integrated-ocean-technology/ocean-radar/,Block Island (BLCK) HF-radar station
BRAD,MARACOOS,Rutgers,United States of America,support@marine.rutgers.edu,Rutgers University,"Ocean Radar Team, Rutgers University Center for Ocean Observing Leadership (RUCOOL)",academic,group,https://rucool.marine.rutgers.edu/integrated-ocean-technology/ocean-radar/,"Bradley Beach, NJ (BRAD) HF-radar station"
BRIG,MARACOOS,Rutgers,United States of America,support@marine.rutgers.edu,Rutgers University,"Ocean Radar Team, Rutgers University Center for Ocean Observing Leadership (RUCOOL)",academic,group,https://rucool.marine.rutgers.edu/integrated-ocean-technology/ocean-radar/,"Brigantine, NJ (BRIG) HF-radar station"
BRMR,MARACOOS,Rutgers,United States of America,support@marine.rutgers.edu,Rutgers University,"Ocean Radar Team, Rutgers University Center for Ocean Observing Leadership (RUCOOL)",academic,group,https://rucool.marine.rutgers.edu/integrated-ocean-technology/ocean-radar/,"Brigantine, NJ (BRMR) HF-radar station"
CAPE,MARACOOS,Rutgers,United States of America,support@marine.rutgers.edu,Rutgers University,"Ocean Radar Team, Rutgers University Center for Ocean Observing Leadership (RUCOOL)",academic,group,https://rucool.marine.rutgers.edu/integrated-ocean-technology/ocean-radar/,"Cape Shore Lab, NJ (CAPE) HF-radar station"
CMPT,MARACOOS,Rutgers,United States of America,support@marine.rutgers.edu,Rutgers University,"Ocean Radar Team, Rutgers University Center for Ocean Observing Leadership (RUCOOL)",academic,group,https://rucool.marine.rutgers.edu/integrated-ocean-technology/ocean-radar/,"Cape May Point, NJ (CMPT) HF-radar station"
HEMP,MARACOOS,Rutgers,United States of America,support@marine.rutgers.edu,Rutgers University,"Ocean Radar Team, Rutgers University Center for Ocean Observing Leadership (RUCOOL)",academic,group,https://rucool.marine.rutgers.edu/integrated-ocean-technology/ocean-radar/,"Hempstead, NY (HEMP) HF-radar station"
HLGT,MARACOOS,Rutgers,United States of America,support@marine.rutgers.edu,Rutgers University,"Ocean Radar Team, Rutgers University Center for Ocean Observing Leadership (RUCOOL)",academic,group,https://rucool.marine.rutgers.edu/integrated-ocean-technology/ocean-radar/,"Holgate, NJ (HLGT) HF-radar station"
HLPN,MARACOOS,Rutgers,United States of America,support@marine.rutgers.edu,Rutgers University,"Ocean Radar Team, Rutgers University Center for Ocean Observing Leadership (RUCOOL)",academic,group,https://rucool.marine.rutgers.edu/integrated-ocean-technology/ocean-radar/,"Cape Henlopen, DE (HLPN) HF-radar station"
HOOK,MARACOOS,Rutgers,United States of America,support@marine.rutgers.edu,Rutgers University,"Ocean Radar Team, Rutgers University Center for Ocean Observing Leadership (RUCOOL)",academic,group,https://rucool.marine.rutgers.edu/integrated-ocean-technology/ocean-radar/,"Sandy Hook, NJ (HOOK) HF-radar station"
LEWE,MARACOOS,Rutgers,United States of America,support@marine.rutgers.edu,Rutgers University,"Ocean Radar Team, Rutgers University Center for Ocean Observing Leadership (RUCOOL)",academic,group,https://rucool.marine.rutgers.edu/integrated-ocean-technology/ocean-radar/,"Lewes, DE (LEWE) HF-radar station"
LOVE,MARACOOS,Rutgers,United States of America,support@marine.rutgers.edu,Rutgers University,"Ocean Radar Team, Rutgers University Center for Ocean Observing Leadership (RUCOOL)",academic,group,https://rucool.marine.rutgers.edu/integrated-ocean-technology/ocean-radar/,Loveladies (LOVE) HF-radar station
MRCH,MARACOOS,Rutgers,United States of America,support@marine.rutgers.edu,Rutgers University,"Ocean Radar Team, Rutgers University Center for Ocean Observing Leadership (RUCOOL)",academic,group,https://rucool.marine.rutgers.edu/integrated-ocean-technology/ocean-radar/,"Moriches, NY (MRCH) HF-radar station"
NANT,MARACOOS,Rutgers,United States of America,support@marine.rutgers.edu,Rutgers University,"Ocean Radar Team, Rutgers University Center for Ocean Observing Leadership (RUCOOL)",academic,group,https://rucool.marine.rutgers.edu/integrated-ocean-technology/ocean-radar/,"Nantucket Island, MA (NANT) HF-radar station"
OLDB,MARACOOS,Rutgers,United States of America,support@marine.rutgers.edu,Rutgers University,"Ocean Radar Team, Rutgers University Center for Ocean Observing Leadership (RUCOOL)",academic,group,https://rucool.marine.rutgers.edu/integrated-ocean-technology/ocean-radar/,"Old Bridge Waterfront Park, NJ (OLDB) HF-radar station"
PORT,MARACOOS,Rutgers,United States of America,support@marine.rutgers.edu,Rutgers University,"Ocean Radar Team, Rutgers University Center for Ocean Observing Leadership (RUCOOL)",academic,group,https://rucool.marine.rutgers.edu/integrated-ocean-technology/ocean-radar/,"Port Monmouth, NJ (PORT) HF-radar station"
RATH,MARACOOS,Rutgers,United States of America,support@marine.rutgers.edu,Rutgers University,"Ocean Radar Team, Rutgers University Center for Ocean Observing Leadership (RUCOOL)",academic,group,https://rucool.marine.rutgers.edu/integrated-ocean-technology/ocean-radar/,"Strathmere, NJ (RATH) HF-radar station"
SEAB,MARACOOS,Rutgers,United States of America,support@marine.rutgers.edu,Rutgers University,"Ocean Radar Team, Rutgers University Center for Ocean Observing Leadership (RUCOOL)",academic,group,https://rucool.marine.rutgers.edu/integrated-ocean-technology/ocean-radar/,"Sea Bright, NJ (SEAB) HF-radar station"
SILD,MARACOOS,Rutgers,United States of America,support@marine.rutgers.edu,Rutgers University,"Ocean Radar Team, Rutgers University Center for Ocean Observing Leadership (RUCOOL)",academic,group,https://rucool.marine.rutgers.edu/integrated-ocean-technology/ocean-radar/,"Staten Island, NY (SILD) HF-radar station"
SPRK,MARACOOS,Rutgers,United States of America,support@marine.rutgers.edu,Rutgers University,"Ocean Radar Team, Rutgers University Center for Ocean Observing Leadership (RUCOOL)",academic,group,https://rucool.marine.rutgers.edu/integrated-ocean-technology/ocean-radar/,"Seaside Park, NJ (SPRK) HF-radar station"
WILD,MARACOOS,Rutgers,United States of America,support@marine.rutgers.edu,Rutgers University,"Ocean Radar Team, Rutgers University Center for Ocean Observing Leadership (RUCOOL)",academic,group,https://rucool.marine.rutgers.edu/integrated-ocean-technology/ocean-radar/,Wildwood (WILD) HF-radar station
WOOD,MARACOOS,Rutgers,United States of America,support@marine.rutgers.edu,Rutgers University,"Ocean Radar Team, Rutgers University Center for Ocean Observing Leadership (RUCOOL)",academic,group,https://rucool.marine.rutgers.edu/integrated-ocean-technology/ocean-radar/,"North Wildwood, NJ (WOOD) HF-radar station"
GCAP,MARACOOS,UConn,United States of America,james.odonnell@uconn.edu,University of Connecticut,"Department of Marine Sciences, University of Connecticut",academic,group,https://lisicos.uconn.edu/,"Great Captain Island, CT (GCAP) HF-radar station"
STLI,MARACOOS,UConn,United States of America,james.odonnell@uconn.edu,University of Connecticut,"Department of Marine Sciences, University of Connecticut",academic,group,https://lisicos.uconn.edu/,"Stehli Beach, NY (STLI) HF-radar station"
NAUS,MARACOOS,UMassDart,United States of America,msundermeyer@umassd.edu,University of Massachusetts Dartmouth,"Ocean Observation Laboratory, School for Marine Science & Technology, University of Massachusetts Dartmouth",academic,group,https://www.umassd.edu/smast/research/,"Nauset, MA (NAUS) HF-radar station"
BISL,MARACOOS,URI,United States of America,chewei.chang@uri.edu,University of Rhode Island,"Chang Coastal Lab, Department of Ocean Engineering, University of Rhode Island",academic,group,https://web.uri.edu/chang-coastal-lab/,"Block Island, RI (BISL) HF-radar station"
MISQ,MARACOOS,URI,United States of America,chewei.chang@uri.edu,University of Rhode Island,"Chang Coastal Lab, Department of Ocean Engineering, University of Rhode Island",academic,group,https://web.uri.edu/chang-coastal-lab/,"Misquamicut, RI (MISQ) HF-radar station"
MNTK,MARACOOS,URI,United States of America,chewei.chang@uri.edu,University of Rhode Island,"Chang Coastal Lab, Department of Ocean Engineering, University of Rhode Island",academic,group,https://web.uri.edu/chang-coastal-lab/,"Montauk, NY (MNTK) HF-radar station"
CBL1,NANOOS,OSU,United States of America,mike.kosro@oregonstate.edu,Oregon State University,"Ocean Currents Mapping Lab; College of Earth, Ocean, and Atmospheric Sciences; Oregon State University",academic,group,http://bragg.ceoas.oregonstate.edu/,"Cape Blanco, OR (CBL1) HF-radar station"
KAL1,NANOOS,OSU,United States of America,mike.kosro@oregonstate.edu,Oregon State University,"Ocean Currents Mapping Lab; College of Earth, Ocean, and Atmospheric Sciences; Oregon State University",academic,group,http://bragg.ceoas.oregonstate.edu/,"Kalaloch area, Olympic National Park, Forks, WA (KAL1) HF-radar station"
LOO1,NANOOS,OSU,United States of America,mike.kosro@oregonstate.edu,Oregon State University,"Ocean Currents Mapping Lab; College of Earth, Ocean, and Atmospheric Sciences; Oregon State University",academic,group,http://bragg.ceoas.oregonstate.edu/,"Loomis Lake, OR (LOO1) HF-radar station"
MAN1,NANOOS,OSU,United States of America,mike.kosro@oregonstate.edu,Oregon State University,"Ocean Currents Mapping Lab; College of Earth, Ocean, and Atmospheric Sciences; Oregon State University",academic,group,http://bragg.ceoas.oregonstate.edu/,"Manhattan Beach, OR (MAN1) HF-radar station"
PSG1,NANOOS,OSU,United States of America,mike.kosro@oregonstate.edu,Oregon State University,"Ocean Currents Mapping Lab; College of Earth, Ocean, and Atmospheric Sciences; Oregon State University",academic,group,http://bragg.ceoas.oregonstate.edu/,"Point St. George, CA (PSG1) HF-radar station"
SEA1,NANOOS,OSU,United States of America,mike.kosro@oregonstate.edu,Oregon State University,"Ocean Currents Mapping Lab; College of Earth, Ocean, and Atmospheric Sciences; Oregon State University",academic,group,http://bragg.ceoas.oregonstate.edu/,"Seaside, OR (SEA1) HF-radar station"
STV2,NANOOS,OSU,United States of America,mike.kosro@oregonstate.edu,Oregon State University,"Ocean Currents Mapping Lab; College of Earth, Ocean, and Atmospheric Sciences; Oregon State University",academic,group,http://bragg.ceoas.oregonstate.edu/,"Fort Stevens, OR (STV2) HF-radar station"
